drug,field,source_type,source_url,source_excerpt,extracted_by,reviewed_by,confidence
Abrocitinib,drug_characterization,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""ABROCITINIB""","Computed by pulling every individual FAERS report matching this drug's own search_term (ABROCITINIB) and tallying each report's drugcharacterization code (1=suspect, 2=concomitant, 3=interacting) from ONLY the drug-array entries whose medicinalproduct matches this drug (not co-listed drugs in the same report) -- a plain count= aggregate query cannot do this correctly (openFDA's flattened array indexing mixes in co-listed drugs' own characterization values). 422/422 reports matched.","fetch_faers_characterization.py (per-report drugcharacterization backfill, cycle-22/23 pass)",,1.0
Abrocitinib,purple_book,needs_extraction,,,,,
Abrocitinib,applications[213871].regulatory_application,orange_book,https://www.fda.gov/media/76860/download,"products.txt: ABROCITINIB~TABLET;ORAL~CIBINQO~PFIZER~50MG~N~213871~001~~Jan 14, 2022~Yes~No~RX~PFIZER INC",atlas.regulatory_applications (registry file fetched 2026-09-05),,1.0
Abrocitinib,applications[213871].orange_book,orange_book,https://api.fda.gov/drug/orangebook.json?search=products.active_ingredients.name%3A%22ABROCITINIB%22&limit=100,"openFDA drug/orangebook.json, 3 product row(s) matched on products.active_ingredients.name='ABROCITINIB'","fetch_orange_book.py (openfda drug/orangebook.json, v2 pass)",,1.0
Adalimumab,mechanism_of_action,openfda_label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=48b7e44a-945f-487d-b2fd-3da13d6d6fdb,"openFDA drug/label mechanism_of_action (FDA-approved label, section 12.1) -- v1 extracted text: 12.1 Mechanism of Action Adalimumab products bind specifically to TNF-alpha and block its interaction with the p55 and p75 cell surface TNF receptors. Adalimumab products also lyse surface TNF expressing cells in vitro in the presence of complement. Adalimumab products do not bind or inactivate lymphotoxin (TNF-beta). TNF is a naturally occurring cytokine that is involved in normal inflammatory and immune responses. Elevated concentrations of TNF are found in the synovial fluid of patients with RA, JIA, PsA, and AS and play an important role in both the pathologic inflammation and the joint destruction that are hallmarks of these diseases. Increased concentrations of TNF are also found in psoriasis plaques. In Ps, treatment with HYRIMOZ may reduce the epidermal thickness and infiltration of inflammatory cells. The relationship between these pharmacodynamic activities and the mechanism(s) by which adalimumab products exert their clinical effects is unknown. Adalimumab products also modulate biological responses that are induced or regulated by TNF, including changes in the concentrations of adhesion molecules responsible for leukocyte migration (ELAM-1, VCAM-1, and ICAM-1 with an IC 50 of 1-2 X 10 -10 M).","enrich_needs_extraction.py (LLM-assisted extraction, v1 pass; pending human QA); structured by atlas.migrate v1->v2",,0.9
Adalimumab,boxed_warning,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.substance_name:ADALIMUMAB&limit=1,"results[0].boxed_warning -- v1 extracted text: WARNING: SERIOUS INFECTIONS and MALIGNANCY SERIOUS INFECTIONS Patients treated with adalimumab products, including HYRIMOZ, are at increased risk for developing serious infections that may lead to hospitalization or death [see Warnings and Precautions ( 5.1 )] . Most patients who developed these infections were taking concomitant immunosuppressants such as methotrexate or corticosteroids. Discontinue HYRIMOZ if a patient develops a serious infection or sepsis. Reported infections include: • Active tuberculosis (TB), including reactivation of latent TB. Patients with TB have frequently presented with disseminated or extrapulmonary disease. Test patients for latent TB before HYRIMOZ use and during therapy. Initiate treatment for latent TB prior to HYRIMOZ use. • Invasive fungal infections, including histoplasmosis, coccidioidomycosis, candidiasis, aspergillosis, blastomycosis, and pneumocystosis. Patients with histoplasmosis or other invasive fungal infections may present with disseminated, rather than localized, disease. Antigen and antibody testing for histoplasmosis may be negative in some patients with active infection. Consider empiric anti-fungal therapy in patients at risk for invasive fungal infections who develop severe systemic illness. • Bacterial, viral and other infections due to opportunistic pathogens, including Legionella and Listeria. Carefully consider the risks and benefits of treatment with HYRIMOZ prior to initiating therapy in patients with chronic or recurrent infection. Monitor patients closely for the development of signs and symptoms of infection during and after treatment with HYRIMOZ, including the possible development of TB in patients who tested negative for latent TB infection prior to initiating therapy [see Warnings and Precautions ( 5.1 ) and Adverse Reactions ( 6.1 )]. MALIGNANCY Lymphoma and other malignancies, some fatal, have been reported in children and adolescent patients treated with TNF blockers including adalimumab products [ see Warnings and Precautions ( 5.2 ) ]. Post-marketing cases of hepatosplenic T-cell lymphoma (HSTCL), a rare type of T-cell lymphoma, have been reported in patients treated with TNF blockers including adalimumab products. These cases have had a very aggressive disease course and have been fatal. The majority of reported TNF blocker cases have occurred in patients with Crohn's disease or ulcerative colitis and the majority were in adolescent and young adult males. Almost all these patients had received treatment with azathioprine or 6-mercaptopurine (6–MP) concomitantly with a TNF blocker at or prior to diagnosis. It is uncertain whether the occurrence of HSTCL is related to use of a TNF blocker or a TNF blocker in combination with these other immunosuppressants [see Warnings and Precautions ( 5.2 )]. WARNING: SERIOUS INFECTIONS and MALIGNANCY See full prescribing information for complete boxed warning. SERIOUS INFECTIONS ( 5.1 , 6.1 ): • Increased risk of serious infections leading to hospitalization or death, including tuberculosis (TB), bacterial sepsis, invasive fungal infections (such as histoplasmosis), and infections due to other opportunistic pathogens. • Discontinue HYRIMOZ if a patient develops a serious infection or sepsis during treatment. • Perform test for latent TB; if positive, start treatment for TB prior to starting HYRIMOZ. • Monitor all patients for active TB during treatment, even if initial latent TB test is negative. MALIGNANCY ( 5.2 ): • Lymphoma and other malignancies, some fatal, have been reported in children and adolescent patients treated with TNF blockers including adalimumab products. • Post-marketing cases of hepatosplenic T-cell lymphoma (HSTCL), a rare type of T-cell lymphoma, have occurred in adolescent and young adults with inflammatory bowel disease treated with TNF blockers including adalimumab products.","fetch_adverse_events.py (ctgov_api results + openfda_label, v1 AE pass); structured by atlas.migrate v1->v2",,1.0
Adalimumab,faers_summary,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""ADALIMUMAB""&limit=1","openFDA drug/event.json aggregate: total_reports=46072, serious=43369, deaths=6821","fetch_faers.py (openfda drug/event.json, v2 pass)",,1.0
Adalimumab,drug_characterization,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""ADALIMUMAB""","Computed by pulling every individual FAERS report matching this drug's own search_term (ADALIMUMAB) and tallying each report's drugcharacterization code (1=suspect, 2=concomitant, 3=interacting) from ONLY the drug-array entries whose medicinalproduct matches this drug (not co-listed drugs in the same report) -- a plain count= aggregate query cannot do this correctly (openFDA's flattened array indexing mixes in co-listed drugs' own characterization values). 46072/46072 reports matched.","fetch_faers_characterization.py (per-report drugcharacterization backfill, cycle-22/23 pass)",,1.0
Adalimumab,purple_book,purple_book,https://purplebooksearch.fda.gov/index.cfm?event=advancedsearch,"purplebooksearch.fda.gov live search table, BLA 125057 (Humira), 10 biosimilar(s) on file","fetch_purple_book.py (purplebooksearch.fda.gov live search table, raw staging pass)",,1.0
Adalimumab,applications[125057].regulatory_application,purple_book,https://purplebooksearch.fda.gov/index.cfm?event=advancedsearch,purplebooksearch.fda.gov live search table: BLA 125057 | Humira | adalimumab | 351(a) | AbbVie Inc. | first approved 2002-12-31,atlas.regulatory_applications (registry file fetched 2026-09-05),,1.0
Adalimumab,applications[125057].orange_book,needs_extraction,,,,,
Afamelanotide,mechanism_of_action,openfda_label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5192f26d-d5e7-ce03-e063-6294a90a3ea2,"openFDA drug/label mechanism_of_action (FDA-approved label, section 12.1) -- extracted text: 12.1 Mechanism of Action Afamelanotide is a synthetic tridecapeptide and a structural analog of α-melanocyte stimulating hormone (α-MSH). Afamelanotide is a melanocortin receptor agonist and binds predominantly to MC1-R.","deep-extraction pass (LLM-assisted extraction, scale-out backfill; pending human QA)",,0.85
Afamelanotide,boxed_warning,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.substance_name:AFAMELANOTIDE&limit=1,"results[0] has no boxed_warning key (checked, none present)","fetch_adverse_events.py (ctgov_api results + openfda_label, v1 AE pass); structured by atlas.migrate v1->v2",,1.0
Afamelanotide,faers_summary,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""AFAMELANOTIDE""&limit=1","openFDA drug/event.json aggregate: total_reports=2, serious=2, deaths=0","fetch_faers.py (openfda drug/event.json, v2 pass)",,1.0
Afamelanotide,drug_characterization,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""AFAMELANOTIDE""","Computed by pulling every individual FAERS report matching this drug's own search_term (AFAMELANOTIDE) and tallying each report's drugcharacterization code (1=suspect, 2=concomitant, 3=interacting) from ONLY the drug-array entries whose medicinalproduct matches this drug (not co-listed drugs in the same report) -- a plain count= aggregate query cannot do this correctly (openFDA's flattened array indexing mixes in co-listed drugs' own characterization values). 2/2 reports matched.","fetch_faers_characterization.py (per-report drugcharacterization backfill, cycle-22/23 pass)",,1.0
Afamelanotide,purple_book,needs_extraction,,,,,
Afamelanotide,applications[210797].regulatory_application,orange_book,https://api.fda.gov/drug/orangebook.json,"openfda orangebook.json: products.active_ingredients.name=AFAMELANOTIDE, application_number N210797, brand_name SCENESSE, applicant_full_name CLINUVEL INC, approval_date 2019-10-08",atlas.regulatory_applications (registry file fetched 2026-09-05),,1.0
Afamelanotide,applications[210797].orange_book,orange_book,https://api.fda.gov/drug/orangebook.json?search=products.active_ingredients.name%3A%22AFAMELANOTIDE%22&limit=100,"openFDA drug/orangebook.json, 1 product row(s) matched on products.active_ingredients.name='AFAMELANOTIDE'","fetch_orange_book.py (openfda drug/orangebook.json, v2 pass)",,1.0
Apremilast,mechanism_of_action,openfda_label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa1e6b1d-2961-42d4-afee-7a9596bc2335,"openFDA drug/label mechanism_of_action (FDA-approved label, section 12.1) -- extracted text: 12.1 Mechanism of Action Apremilast is an oral small molecule inhibitor of phosphodiesterase 4 (PDE4) specific for cyclic adenosine monophosphate (cAMP). PDE4 inhibition results in increased intracellular cAMP levels. The specific mechanism(s) by which apremilast exerts its therapeutic action is not well defined.","deep-extraction pass (LLM-assisted extraction, scale-out backfill; pending human QA)",,0.9
Apremilast,boxed_warning,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.substance_name:APREMILAST&limit=1,"results[0] has no boxed_warning key (checked, none present)","fetch_adverse_events.py (ctgov_api results + openfda_label, v1 AE pass); structured by atlas.migrate v1->v2",,1.0
Apremilast,faers_summary,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""APREMILAST""&limit=1","openFDA drug/event.json aggregate: total_reports=6181, serious=4869, deaths=2505","fetch_faers.py (openfda drug/event.json, cycle-7 pass)",,1.0
Apremilast,drug_characterization,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""APREMILAST""","Computed by pulling every individual FAERS report matching this drug's own search_term (APREMILAST) and tallying each report's drugcharacterization code (1=suspect, 2=concomitant, 3=interacting) from ONLY the drug-array entries whose medicinalproduct matches this drug (not co-listed drugs in the same report) -- a plain count= aggregate query cannot do this correctly (openFDA's flattened array indexing mixes in co-listed drugs' own characterization values). 6181/6181 reports matched.","fetch_faers_characterization.py (per-report drugcharacterization backfill, cycle-22/23 pass)",,1.0
Apremilast,purple_book,needs_extraction,,,,,
Apremilast,applications[205437].regulatory_application,orange_book,https://api.fda.gov/drug/orangebook.json,"openfda orangebook.json: products.active_ingredients.name=APREMILAST, application_number N205437, brand_name OTEZLA, applicant_full_name AMGEN INC (current holder -- Amgen acquired Otezla from Celgene/BMS in 2019), approval_date 2014-03-21",atlas.regulatory_applications (registry file fetched 2026-09-05),,1.0
Apremilast,applications[205437].orange_book,orange_book,https://api.fda.gov/drug/orangebook.json?search=products.active_ingredients.name%3A%22APREMILAST%22&limit=100,"openFDA drug/orangebook.json, 43 product row(s) matched on products.active_ingredients.name='APREMILAST'","fetch_orange_book.py (openfda drug/orangebook.json, cycle-7 pass)",,1.0
Baricitinib,mechanism_of_action,openfda_label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bd867ca4-faaf-4920-af55-ee0db99ab1bf,"openFDA drug/label mechanism_of_action (FDA-approved label, section 12.1) -- extracted text: 12.1 Mechanism of Action Baricitinib is a Janus kinase (JAK) inhibitor. JAKs are intracellular enzymes which transmit signals arising from cytokine or growth factor-receptor interactions on the cellular membrane to influence cellular processes of hematopoiesis and immune cell function. Within the signaling pathway, JAKs phosphorylate and activate Signal Transducers and Activators of Transcription (STATs) which modulate intracellular activity including gene expression. Baricitinib modulates the signaling pathway at the point of JAKs, preventing the phosphorylation and activation of STATs. JAK enzymes transmit cytokine signaling through their pairing (e.g., JAK1/JAK2, JAK1/JAK3, JAK1/TYK2, JAK2/JAK2, JAK2/TYK2). In cell-free isolated enzyme assays, baricitinib had greater inhibitory potency at JAK1, JAK2 and TYK2 relative to JAK3. In human leukocytes, baricitinib inhibited cytokine induced STAT phosphorylation mediated by JAK1/JAK2, JAK1/JAK3, JAK1/TYK2, or JAK2/TYK2 with comparable potencies. However, the relevance of inhibition of specific JAK enzymes to therapeutic effectiveness is not currently known.","deep-extraction pass (LLM-assisted extraction, scale-out backfill; pending human QA)",,0.9
Baricitinib,boxed_warning,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.substance_name:BARICITINIB&limit=1,"results[0] has no boxed_warning key (checked, none present)","fetch_adverse_events.py (ctgov_api results + openfda_label, v1 AE pass); structured by atlas.migrate v1->v2",,1.0
Baricitinib,faers_summary,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""BARICITINIB""&limit=1","openFDA drug/event.json aggregate: total_reports=2981, serious=2763, deaths=473","fetch_faers.py (openfda drug/event.json, v2 pass)",,1.0
Baricitinib,drug_characterization,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""BARICITINIB""","Computed by pulling every individual FAERS report matching this drug's own search_term (BARICITINIB) and tallying each report's drugcharacterization code (1=suspect, 2=concomitant, 3=interacting) from ONLY the drug-array entries whose medicinalproduct matches this drug (not co-listed drugs in the same report) -- a plain count= aggregate query cannot do this correctly (openFDA's flattened array indexing mixes in co-listed drugs' own characterization values). 2981/2981 reports matched.","fetch_faers_characterization.py (per-report drugcharacterization backfill, cycle-22/23 pass)",,1.0
Baricitinib,purple_book,needs_extraction,,,,,
Baricitinib,applications[207924].regulatory_application,orange_book,https://api.fda.gov/drug/orangebook.json,"openFDA drug/orangebook.json: BARICITINIB application N207924, brand OLUMIANT, applicant ELI LILLY AND CO, approved 2018-05-31",atlas.regulatory_applications (registry file fetched 2026-09-05),,1.0
Baricitinib,applications[207924].orange_book,orange_book,https://api.fda.gov/drug/orangebook.json?search=products.active_ingredients.name%3A%22BARICITINIB%22&limit=100,"openFDA drug/orangebook.json, 8 product row(s) matched on products.active_ingredients.name='BARICITINIB'","fetch_orange_book.py (openfda drug/orangebook.json, v2 pass)",,1.0
Benzoyl Peroxide,mechanism_of_action,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.brand_name:EPSOLAY&limit=1,"openFDA drug/label mechanism_of_action (FDA-approved label, section 12.1) -- extracted text: ""Benzoyl peroxide is an oxidizing agent with bactericidal and keratolytic effects but the precise mechanism of action in the treatment of rosacea is unknown.""",cycle22 one-off build (ctgov_api v2 + openfda_label/orangebook/faers pass); manual full deep extraction,,0.85
Benzoyl Peroxide,boxed_warning,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.brand_name:EPSOLAY&limit=1,"results[0] has no boxed_warning key (checked, none present)","fetch_adverse_events.py (ctgov_api results + openfda_label, cycle-22 pass); structured by atlas.migrate v1->v2",,1.0
Benzoyl Peroxide,faers_summary,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""EPSOLAY""&limit=1","openFDA drug/event.json aggregate: total_reports=37, serious=2, deaths=0. Bare ingredient term BENZOYL PEROXIDE (2,993 reports) is dominated by OTC acne products (ACNE 701+359=1060/2993, no Rosacea in top 15) -- the same generic-term-contamination pattern as Eskata/hydrogen-peroxide. Brand term EPSOLAY (37 reports) has Rosacea as its clear top real indication (14/37) -- used instead per the atlas's standing run-the-drugindication-count-first rule.","fetch_faers.py (openfda drug/event.json, cycle-22 pass)",,1.0
Benzoyl Peroxide,drug_characterization,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""EPSOLAY""","Computed by pulling every individual FAERS report matching this drug's own search_term (EPSOLAY) and tallying each report's drugcharacterization code (1=suspect, 2=concomitant, 3=interacting) from ONLY the drug-array entries whose medicinalproduct matches this drug (not co-listed drugs in the same report) -- a plain count= aggregate query cannot do this correctly (openFDA's flattened array indexing mixes in co-listed drugs' own characterization values; confirmed via 2 independent test queries returning identical contaminated totals). 37/37 reports matched.","fetch_faers_characterization.py (per-report drugcharacterization backfill, cycle-22 pass)",,1.0
Benzoyl Peroxide,purple_book,needs_extraction,,,,,
Benzoyl Peroxide,applications[214510].regulatory_application,orange_book,https://api.fda.gov/drug/orangebook.json,openfda orangebook.json: products.application_number=214510 (EPSOLAY),atlas.regulatory_applications (registry file fetched 2026-09-07),,1.0
Benzoyl Peroxide,applications[214510].orange_book,orange_book,https://api.fda.gov/drug/orangebook.json?search=products.active_ingredients.name%3A%22BENZOYL%20PEROXIDE%22+AND+products.application_number%3A214510&limit=10,"openFDA drug/orangebook.json, 1 product row matched on products.application_number='214510' (of 43 total rows for ingredient BENZOYL PEROXIDE across all applicants, mostly OTC/generic acne products -- pinned to Epsolay's own NDA)","fetch_orange_book.py (openfda drug/orangebook.json, cycle-22 pass, NDA-pinned)",,1.0
Berdazimer,mechanism_of_action,openfda_label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0af12ae7-bb37-4319-94d1-8074b39d4e1b,"openFDA drug/label mechanism_of_action (FDA-approved label, section 12.1) -- extracted text: 12.1 Mechanism of Action ZELSUVMI is a nitric oxide releasing agent. The mechanism of action for the treatment of molluscum contagiosum is unknown.","deep-extraction pass (LLM-assisted extraction, scale-out backfill; pending human QA)",,0.9
Berdazimer,boxed_warning,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.generic_name:BERDAZIMER&limit=1,"results[0] has no boxed_warning key (checked, none present)","fetch_adverse_events.py (ctgov_api results + openfda_label, v1 AE pass); structured by atlas.migrate v1->v2",,1.0
Berdazimer,faers_summary,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""ZELSUVMI""&limit=1","openFDA drug/event.json aggregate: total_reports=71, serious=0, deaths=0 -- searched on the brand name ZELSUVMI: the generic name BERDAZIMER returns a hard NOT_FOUND on patient.drug.medicinalproduct (checked live), so every real report for this drug is filed under the brand","fetch_faers.py (openfda drug/event.json, cycle-10 pass)",,1.0
Berdazimer,drug_characterization,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""ZELSUVMI""","Computed by pulling every individual FAERS report matching this drug's own search_term (ZELSUVMI) and tallying each report's drugcharacterization code (1=suspect, 2=concomitant, 3=interacting) from ONLY the drug-array entries whose medicinalproduct matches this drug (not co-listed drugs in the same report) -- a plain count= aggregate query cannot do this correctly (openFDA's flattened array indexing mixes in co-listed drugs' own characterization values). 71/71 reports matched.","fetch_faers_characterization.py (per-report drugcharacterization backfill, cycle-22/23 pass)",,1.0
Berdazimer,purple_book,needs_extraction,,,,,
Berdazimer,applications[217424].regulatory_application,orange_book,https://api.fda.gov/drug/orangebook.json,"openfda orangebook.json: products.active_ingredients.name=BERDAZIMER (row ingredient BERDAZIMER SODIUM), application_number N217424, brand_name ZELSUVMI, applicant_full_name LNHC INC, approval_date 2024-01-05",atlas.regulatory_applications (registry file fetched 2026-09-05),,1.0
